username,course,registered_at,start_date,account_age_days,user_cohort
Johnstad Di Maria,Wikimedia_Indonesia/Kopdar_Wikidata_Bandung_Oktober_2025,2016-06-30 06:34:02+00:00,2025-10-03 22:00:00+00:00,3382.643032407407,Existing User
Lany pirna,Wikimedia_Indonesia/Kopdar_Wikidata_Bandung_Oktober_2025,2018-12-10 07:56:46+00:00,2025-10-03 22:00:00+00:00,2489.5855787037035,Existing User
Serigalakampus,Wikimedia_Indonesia/Kopdar_Wikidata_Bandung_Oktober_2025,2019-04-21 04:31:31+00:00,2025-10-03 22:00:00+00:00,2357.728113425926,Existing User
Mirani Pramitasari,Wikimedia_Indonesia/Kopdar_Wikidata_Bandung_Oktober_2025,2021-09-12 14:03:17+00:00,2025-10-03 22:00:00+00:00,1482.3310532407406,Existing User
Apriadi ap,Wikimedia_Indonesia/Kopdar_Wikidata_Bandung_Oktober_2025,2021-11-23 18:50:54+00:00,2025-10-03 22:00:00+00:00,1410.1313194444444,Existing User
Arunikala,Wikimedia_Indonesia/Kopdar_Wikidata_Bandung_Oktober_2025,2022-09-19 06:05:56+00:00,2025-10-03 22:00:00+00:00,1110.6625462962963,Existing User
Hasnanf,Wikimedia_Indonesia/Kopdar_Wikidata_Bandung_Oktober_2025,2022-11-03 11:45:07+00:00,2025-10-03 22:00:00+00:00,1065.427002314815,Existing User
Nugi30,Wikimedia_Indonesia/Kopdar_Wikidata_Bandung_Oktober_2025,2024-05-08 14:05:41+00:00,2025-10-03 22:00:00+00:00,513.3293865740741,Existing User
Yaya Nulis,Wikimedia_Indonesia/Kopdar_Wikidata_Bandung_Oktober_2025,2024-11-05 04:49:24+00:00,2025-10-03 22:00:00+00:00,332.71569444444447,Existing User
Tanto Wijaya,Wikimedia_Indonesia/Kopdar_Wikidata_Bandung_Oktober_2025,2025-07-15 12:33:32+00:00,2025-10-03 22:00:00+00:00,80.39337962962964,Existing User
